fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste
1.28821,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
1.29603,0.01002,0.0101,0.93509,0.0005,3.05115,0.77676,6.70251,0.51562,1.5388,0.01538,0.68424,0.39372,0.0,0.10003,0.50304,0.0,0.0,0.0,0.5,0.0,0.94038,0.0,0.0,0.0
1.32206,0.00761,0.00967,0.89873,0.0005,2.981,0.88979,6.97344,0.50123,1.72248,0.01566,0.80908,0.43784,0.0,0.10052,0.50304,0.0,0.0,0.0,0.58539,0.0,1.0,0.0,0.0,0.0
1.30706,0.0076,0.0097,0.90092,0.0005,2.981,0.88718,6.97764,0.50123,1.71694,0.0158,0.80557,0.43717,0.0,0.10006,0.50556,0.0,0.0,0.0,0.59143,0.0,1.0,0.0,0.0,0.0
1.32319,0.00779,0.00983,0.90789,0.00051,3.10253,0.87781,6.90524,0.50277,1.67145,0.0158,0.82204,0.45299,0.0,0.09615,0.4965,0.0,0.0,0.0,0.5787,0.0,1.0,0.0,0.0,0.0
1.32363,0.00663,0.01384,0.89873,0.00046,2.30079,0.95,6.33045,0.33152,1.72248,0.01137,0.87816,0.40788,0.0,0.11716,0.42639,0.0,0.0,0.0,0.58911,0.0,0.69838,0.0,0.0,0.0
1.3234,0.00513,0.0097,0.95416,0.00054,2.9189,0.81978,6.67931,0.52295,1.45636,0.01507,0.80557,0.52067,0.0,0.10685,0.50398,0.0,0.0,0.0,0.72807,0.0,1.0,0.0,0.0,0.0
1.30535,0.00733,0.01384,0.89873,0.00042,2.35379,0.95,6.33045,0.33537,1.70106,0.01152,0.9,0.39457,0.0,0.11621,0.42639,0.0,0.0,0.0,0.58911,0.0,0.6735,0.0,0.0,0.0
1.32111,0.00502,0.0076,0.9724,0.00041,3.188,0.81978,6.7014,0.51228,1.3762,0.01604,0.80557,0.51958,0.0,0.10189,0.53822,0.0,0.0,0.0,0.80488,0.0,1.0,0.0,0.0,0.0
1.30541,0.00666,0.01346,0.89873,0.00045,2.3759,0.95,6.67656,0.3395,1.72248,0.01117,0.87816,0.41866,0.0,0.11716,0.41687,0.0,0.0,0.0,0.55923,0.0,0.64647,0.0,0.0,0.0
