epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8649,1.53097,1.03,1.35309,0.94139,0.96419,0.97578,0.71923,0.96869,0.61226,1.08891,0.0668673,3.31658e-05,3.31658e-05
2,139.946,1.32561,0.66487,1.2309,0.94712,0.98681,0.97982,0.70098,1.02792,0.52603,1.0671,0.0335671,6.62797e-05,6.62797e-05
3,209.23,1.27376,0.61276,1.22197,0.9558,0.97796,0.98806,0.76034,0.83708,0.44418,1.03976,0.000266678,9.91736e-05,9.91736e-05
4,278.626,1.198,0.57311,1.17308,0.95424,0.98072,0.98917,0.80196,0.76857,0.43205,0.95914,9.901e-05,9.901e-05,9.901e-05
5,348.084,1.17103,0.56422,1.14807,0.95443,0.98623,0.98894,0.79671,0.76101,0.41448,0.95297,9.868e-05,9.868e-05,9.868e-05
6,417.334,1.13865,0.54847,1.13974,0.95852,0.98898,0.99007,0.78382,0.85347,0.43266,1.00239,9.835e-05,9.835e-05,9.835e-05
7,486.815,1.10687,0.52789,1.12294,0.96999,0.98072,0.98747,0.8073,0.78762,0.43681,0.99132,9.802e-05,9.802e-05,9.802e-05
8,556.287,1.09053,0.5162,1.12109,0.9598,0.98672,0.99104,0.81798,0.76088,0.40463,0.9919,9.769e-05,9.769e-05,9.769e-05
9,626.31,1.06275,0.5092,1.11375,0.96998,0.97906,0.9898,0.8163,0.72943,0.38807,0.96465,9.736e-05,9.736e-05,9.736e-05
10,696.375,1.06865,0.50178,1.10202,0.96768,0.98072,0.99054,0.82076,0.70891,0.38152,0.93201,9.703e-05,9.703e-05,9.703e-05
11,766.518,1.04135,0.494,1.0893,0.97722,0.97245,0.99118,0.81957,0.74016,0.37263,0.95648,9.67e-05,9.67e-05,9.67e-05
12,837.039,1.02328,0.48805,1.08724,0.94957,0.99174,0.98997,0.81555,0.73214,0.39408,0.96659,9.637e-05,9.637e-05,9.637e-05
13,905.781,1.00967,0.48701,1.07408,0.95972,0.98452,0.98974,0.80238,0.79841,0.39693,0.96733,9.604e-05,9.604e-05,9.604e-05
14,974.506,0.99172,0.4729,1.06183,0.97778,0.96985,0.99116,0.81952,0.72271,0.38046,0.95839,9.571e-05,9.571e-05,9.571e-05
15,1043.58,0.98109,0.47121,1.0677,0.9673,0.97801,0.99228,0.82555,0.70901,0.37369,0.95751,9.538e-05,9.538e-05,9.538e-05
16,1119.63,0.97597,0.4674,1.07048,0.98034,0.97796,0.98963,0.82377,0.74443,0.37524,0.96552,9.505e-05,9.505e-05,9.505e-05
17,1198.01,0.94368,0.4552,1.04956,0.95538,0.99449,0.9922,0.83644,0.69296,0.36469,0.96128,9.472e-05,9.472e-05,9.472e-05
18,1276.38,0.95693,0.45607,1.04986,0.96244,0.98824,0.99238,0.82487,0.72463,0.36589,0.94105,9.439e-05,9.439e-05,9.439e-05
19,1354.06,0.94059,0.4548,1.03638,0.96671,0.98623,0.99234,0.84427,0.68494,0.35594,0.93607,9.406e-05,9.406e-05,9.406e-05
20,1432.32,0.93127,0.44689,1.03666,0.96255,0.9912,0.9906,0.83005,0.68156,0.35332,0.92071,9.373e-05,9.373e-05,9.373e-05
21,1510.37,0.90878,0.43548,1.02265,0.96004,0.9929,0.9908,0.82762,0.70377,0.3457,0.94192,9.34e-05,9.34e-05,9.34e-05
22,1588.47,0.90795,0.43484,1.02636,0.96196,0.97541,0.99086,0.83225,0.71933,0.36397,0.93655,9.307e-05,9.307e-05,9.307e-05
23,1666.39,0.90473,0.4375,1.02864,0.97553,0.98852,0.99207,0.82768,0.6975,0.37148,0.94114,9.274e-05,9.274e-05,9.274e-05
24,1744.6,0.891,0.43324,1.02885,0.97062,0.97796,0.992,0.8356,0.70584,0.355,0.94656,9.241e-05,9.241e-05,9.241e-05
