epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3917,1.7803,3.0106,1.79126,1.45858,0.92831,0.85119,0.93046,0.58396,0,0,0,0,1.47252,36.2798,1.11862,1.19084,0.0672459,3.27869e-05,3.27869e-05
2,58.4758,1.4883,2.327,0.82333,1.2059,0.88652,0.94048,0.95631,0.60397,0.87045,0.93452,0.9519,0.4402,1.32052,2.31631,0.74907,1.12484,0.0339452,6.54656e-05,6.54656e-05
3,87.3683,1.40177,2.18514,0.79377,1.16532,0.90443,0.90133,0.93532,0.6059,0.90443,0.90133,0.93376,0.48028,1.25608,2.07718,0.74354,1.12729,0.000643932,9.74844e-05,9.74844e-05
4,116.198,1.35442,2.14612,0.75446,1.15144,0.90782,0.9379,0.96188,0.62849,0.90782,0.9379,0.96198,0.5209,1.22922,1.96536,0.70193,1.09156,9.703e-05,9.703e-05,9.703e-05
5,144.96,1.30725,2.00121,0.70923,1.1265,0.88349,0.94048,0.94501,0.6263,0.88349,0.94048,0.94552,0.51765,1.19388,1.98864,0.67959,1.073,9.604e-05,9.604e-05,9.604e-05
6,173.621,1.2672,1.91809,0.68709,1.1027,0.92092,0.92857,0.94207,0.63349,0.92092,0.92857,0.94431,0.54177,1.19198,1.91054,0.68813,1.04811,9.505e-05,9.505e-05,9.505e-05
7,202.392,1.22566,1.89516,0.6883,1.07525,0.88823,0.96429,0.94113,0.62697,0.88823,0.96429,0.9414,0.53148,1.19405,1.87309,0.63902,1.05339,9.406e-05,9.406e-05,9.406e-05
8,231.129,1.2022,1.84441,0.68141,1.06783,0.91896,0.94643,0.95607,0.62519,0.91261,0.94048,0.95639,0.54182,1.19875,1.91208,0.68243,1.06194,9.307e-05,9.307e-05,9.307e-05
9,260.046,1.19046,1.81101,0.63221,1.06219,0.91726,0.92387,0.9559,0.63761,0.91726,0.92387,0.9559,0.54235,1.2101,1.84582,0.61991,1.06641,9.208e-05,9.208e-05,9.208e-05
10,289.038,1.14751,1.77389,0.61248,1.04907,0.91864,0.94097,0.94345,0.64541,0.91864,0.94097,0.94345,0.54793,1.16018,1.85373,0.63034,1.04661,9.109e-05,9.109e-05,9.109e-05
