Image Filename,Latitude,Longitude,Seal Bounding Box,Ice Chunk Area
JHI_FullSurvey_75m_Flight_01_00061.JPG,58.84788767516667,-137.1136051617222,"[2103, 1622, 2129, 1717]",0
JHI_FullSurvey_75m_Flight_01_00062.JPG,58.848099883083336,-137.11330834469445,"[1848, 1335, 1919, 1398]",41939.5
JHI_FullSurvey_75m_Flight_01_00062.JPG,58.848099883083336,-137.11330834469445,"[1899, 1380, 1919, 1427]",41939.5
JHI_FullSurvey_75m_Flight_01_00062.JPG,58.848099883083336,-137.11330834469445,"[2081, 3759, 2110, 3840]",0
JHI_FullSurvey_75m_Flight_01_00063.JPG,58.848321557805555,-137.11299677766667,"[3858, 362, 3946, 404]",25626.5
JHI_FullSurvey_75m_Flight_01_00063.JPG,58.848321557805555,-137.11299677766667,"[3859, 332, 3908, 376]",25626.5
JHI_FullSurvey_75m_Flight_01_00063.JPG,58.848321557805555,-137.11299677766667,"[1774, 3574, 1860, 3653]",40824.5
JHI_FullSurvey_75m_Flight_01_00063.JPG,58.848321557805555,-137.11299677766667,"[1821, 3626, 1853, 3680]",40824.5
JHI_FullSurvey_75m_Flight_01_00064.JPG,58.84853540672223,-137.11269874080554,"[3960, 2579, 4011, 2622]",25555.0
JHI_FullSurvey_75m_Flight_01_00064.JPG,58.84853540672223,-137.11269874080554,"[3959, 2607, 4049, 2653]",25555.0
JHI_FullSurvey_75m_Flight_01_00067.JPG,58.84918449141667,-137.11178651227777,"[4949, 489, 5038, 528]",0
JHI_FullSurvey_75m_Flight_01_00067.JPG,58.84918449141667,-137.11178651227777,"[5121, 547, 5202, 583]",0
JHI_FullSurvey_75m_Flight_01_00068.JPG,58.84939950580556,-137.11148547641668,"[4941, 2653, 5035, 2682]",2751.0
JHI_FullSurvey_75m_Flight_01_00068.JPG,58.84939950580556,-137.11148547641668,"[5074, 2722, 5119, 2751]",2412.5
JHI_FullSurvey_75m_Flight_01_00068.JPG,58.84939950580556,-137.11148547641668,"[5120, 2722, 5160, 2749]",2412.5
JHI_FullSurvey_75m_Flight_01_00151.JPG,58.85151298188889,-137.10662155005554,"[5407, 209, 5444, 272]",19028.0
JHI_FullSurvey_75m_Flight_01_00151.JPG,58.85151298188889,-137.10662155005554,"[5384, 267, 5488, 306]",19028.0
JHI_FullSurvey_75m_Flight_01_00151.JPG,58.85151298188889,-137.10662155005554,"[931, 3727, 981, 3802]",25790.0
JHI_FullSurvey_75m_Flight_01_00151.JPG,58.85151298188889,-137.10662155005554,"[873, 3746, 918, 3804]",25790.0
JHI_FullSurvey_75m_Flight_01_00151.JPG,58.85151298188889,-137.10662155005554,"[816, 3710, 923, 3753]",25790.0
JHI_FullSurvey_75m_Flight_01_00152.JPG,58.851296104611116,-137.10693084272222,"[976, 1874, 1020, 1919]",10599.0
JHI_FullSurvey_75m_Flight_01_00152.JPG,58.851296104611116,-137.10693084272222,"[5368, 2497, 5473, 2534]",19368.5
JHI_FullSurvey_75m_Flight_01_00152.JPG,58.851296104611116,-137.10693084272222,"[5391, 2438, 5427, 2500]",19368.5
JHI_FullSurvey_75m_Flight_01_00152.JPG,58.851296104611116,-137.10693084272222,"[879, 1920, 925, 1971]",3833.5
JHI_FullSurvey_75m_Flight_01_00152.JPG,58.851296104611116,-137.10693084272222,"[977, 1920, 1003, 1964]",10599.0
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,"[3534, 236, 3605, 333]",19014.5
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,"[3464, 258, 3515, 340]",19014.5
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,"[2117, 1612, 2151, 1692]",22741.5
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,"[2158, 1624, 2198, 1671]",22741.5
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,"[1995, 2759, 2070, 2851]",27695.0
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,"[2041, 2764, 2096, 2806]",27695.0
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,"[4533, 2747, 4632, 2805]",23546.5
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,"[622, 905, 639, 969]",15916.0
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,"[2197, 871, 2301, 913]",24472.0
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,"[2654, 704, 2745, 750]",33032.0
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,"[2712, 744, 2770, 771]",33032.0
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,"[640, 915, 667, 993]",15916.0
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,"[3778, 2480, 3836, 2560]",18864.0
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,"[3703, 2508, 3746, 2559]",18864.0
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,"[2467, 3133, 2559, 3174]",23684.5
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,"[2910, 2961, 2999, 3007]",32607.5
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,"[2967, 2998, 3026, 3023]",32607.5
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,"[942, 3200, 989, 3258]",15777.0
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,"[2409, 3850, 2445, 3938]",22383.5
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,"[2451, 3868, 2489, 3911]",22383.5
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,"[3903, 1356, 3921, 1393]",0
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,"[195, 2777, 243, 2844]",3897.5
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,"[2684, 2821, 2752, 2891]",13739.5
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,"[894, 2770, 936, 2851]",11198.5
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,"[943, 2781, 981, 2871]",11198.5
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,"[1667, 3812, 1705, 3839]",34941.0
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,"[1590, 3856, 1620, 3933]",34941.0
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,"[1679, 3840, 1707, 3876]",34941.0
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,"[1406, 875, 1492, 971]",12819.0
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,"[2231, 1822, 2320, 1882]",43691.5
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,"[3890, 1476, 3948, 1511]",27618.5
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,"[4191, 1366, 4222, 1444]",25540.0
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,"[1084, 1960, 1120, 2027]",75806.0
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,"[1120, 1920, 1161, 1998]",75806.0
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,"[5049, 3926, 5099, 3960]",0
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,"[3564, 1146, 3624, 1229]",26311.5
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,"[3620, 1133, 3658, 1203]",26311.5
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,"[2774, 1377, 2852, 1418]",11598.5
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,"[676, 3128, 747, 3199]",16596.0
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,"[2987, 3615, 3047, 3642]",11610.0
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,"[2937, 3599, 3009, 3666]",11610.0
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,"[1175, 3336, 1253, 3378]",23591.0
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,"[1070, 3395, 1166, 3428]",23591.0
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,"[4660, 53, 4686, 124]",15955.0
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,"[4690, 82, 4721, 166]",15955.0
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,"[5372, 401, 5456, 457]",9100.5
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,"[5362, 383, 5432, 420]",9100.5
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,"[3453, 1730, 3484, 1809]",17012.0
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,"[2334, 2436, 2364, 2500]",6552.0
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,"[3637, 1920, 3678, 1981]",15372.5
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,"[1196, 2409, 1258, 2463]",15701.5
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,"[880, 1921, 938, 2000]",27721.0
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,"[807, 1920, 865, 1952]",27721.0
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,"[1231, 2321, 1276, 2397]",15701.5
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,"[2123, 3284, 2236, 3336]",20278.0
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,"[277, 670, 323, 751]",38006.0
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,"[5600, 1169, 5640, 1236]",7105.5
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,"[3105, 321, 3191, 357]",13052.0
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,"[3200, 299, 3222, 367]",13052.0
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,"[2387, 1847, 2423, 1898]",0
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,"[2562, 1638, 2624, 1735]",18468.5
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,"[5760, 1626, 5796, 1689]",6752.0
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,"[4435, 2261, 4460, 2330]",17359.0
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,"[4480, 2293, 4494, 2384]",17359.0
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,"[46, 2794, 93, 2880]",23661.5
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,"[5120, 2612, 5209, 2663]",10072.5
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,"[5124, 2590, 5181, 2618]",10072.5
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,"[5336, 3364, 5375, 3430]",6486.0
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,"[3242, 3894, 3269, 3972]",10957.5
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,"[5695, 1180, 5731, 1279]",14388.5
JHI_FullSurvey_75m_Flight_01_00321.JPG,58.85293145316667,-137.09895432927777,"[5639, 1232, 5702, 1263]",14388.5
JHI_FullSurvey_75m_Flight_01_00322.JPG,58.85315121441667,-137.0986426403889,"[3139, 2536, 3164, 2559]",14090.5
JHI_FullSurvey_75m_Flight_01_00322.JPG,58.85315121441667,-137.0986426403889,"[4365, 2092, 4476, 2141]",19443.5
JHI_FullSurvey_75m_Flight_01_00322.JPG,58.85315121441667,-137.0986426403889,"[4372, 2136, 4432, 2172]",19443.5
JHI_FullSurvey_75m_Flight_01_00322.JPG,58.85315121441667,-137.0986426403889,"[4826, 2475, 4873, 2496]",15410.0
JHI_FullSurvey_75m_Flight_01_00322.JPG,58.85315121441667,-137.0986426403889,"[5277, 2037, 5306, 2104]",4718.5
